Symbol,Name,Last Sale,Market Cap,Volume,Sector,Industry
AER,AerCap Holdings N.V. Ordinary Shares,$60.00 ,14752772160,566801,Consumer Discretionary,Diversified Commercial Services
AERC,AeroClean Technologiesnc.,$3.76 ,58268464,1046656,Utilities,Environmental Services
AES,The AES Corporation,$28.13 ,18789427255,2594837,Utilities,Electric Utilities: Central
AEVA,Aeva Technologiesnc.,$1.59 ,346986859,1223163,Consumer Discretionary,Auto Parts:O.E.M.
AEY,ADDvantage Technologies Groupnc.,$1.38 ,19347106,238051,Consumer Discretionary,Durable Goods
AEYE,AudioEyenc.,$4.60 ,52939914,1931,Technology,EDP Services
AEZS,Aeterna Zentarisnc.,$3.77 ,18291114,18656,Health Care,Pharmaceuticals and Biotechnology
AFAC,Arena Fortify Acquisition Corp. Class A,$10.31 ,222309375,4528,Miscellaneous,Other Pharmaceuticals
AFAR,Aura FAT Projects Acquisition Corp,$10.19 ,147580650,27169,Finance,Business Services
AFB,AllianceBernstein National Municipalncome Fundnc,$10.80 ,310445309,103929,Finance,Trusts Except Educational Religious and Charitable
AFBI,Affinity Bancsharesnc.(MD),$14.52 ,96328424,436,Finance,Major Banks
AFCG,AFC Gammanc.,$16.86 ,343337040,119466,Real Estate,Real Estatenvestment Trusts
AFG,American Financial Groupnc.,$139.01 ,11835798352,413374,Finance,Property-Casualtynsurers
AFGC,American Financial Groupnc. 5.125% Subordinated Debentures due 2059,$20.99 ,20949279,6528,Finance,Real Estate
AFIB,Acutus Medicalnc.,$0.77 ,21936682,132798,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
AFL,AFLACncorporated,$71.09 ,44202948730,2414342,Finance,Accident &Healthnsurance
AFMD,Affimed N.V.,$1.99 ,297185277,2073707,Health Care,Biotechnology: Pharmaceutical Preparations
AFRI,Forafric Global PLC Ordinary Shares,$11.33 ,303817157,5052,Consumer Staples,Farming/Seeds/Milling
AFRM,Affirm Holdingsnc. Class A,$11.97 ,3471645504,15272590,Technology,EDP Services
AFT,Apollo Senior Floating Rate Fundnc.,$12.46 ,194046745,109729,Finance,Investment Managers
AFTR,AfterNext HealthTech Acquisition Corp.,$9.97 ,311562500,1655,Finance,Business Services
AFYA,Afya Limited Class A,$15.17 ,1364337403,304954,Real Estate,Other Consumer Services
AG,First Majestic Silver Corp. Ordinary Shares (Canada),$8.88 ,2357291673,4338383,,
AGAC,African Gold Acquisition Corporation,$10.00 ,517500000,410709,Finance,Business Services
AGAE,Allied Gaming & Entertainmentnc.,$0.91 ,35606863,301616,Telecommunications,Cable & Other Pay Television Services
AGBA,AGBA Group Holding Limited Ordinary Share,$2.42 ,148618250,42774,Finance,Investment Managers
AGCB,Altimeter Growth Corp. 2,$10.08 ,578088000,2355392,Finance,Business Services
AGCO,AGCO Corporation,$132.91 ,9914830414,752171,Industrials,Industrial Machinery/Components
AGD,abrdn Global Dynamic Dividend Fund of Beneficialnterest,$9.49 ,119095533,25336,Finance,Trusts Except Educational Religious and Charitable
AGE,AgeX Therapeuticsnc.,$0.57 ,21629877,15469,Health Care,Biotechnology: Pharmaceutical Preparations
AGEN,Agenusnc.,$2.56 ,780317914,3615941,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AGFS,AgroFresh Solutionsnc.,$2.95 ,156504438,90970,,
AGFY,Agrify Corporation,$0.96 ,8521308,297782,Consumer Discretionary,Military/Government/Technical
AGGR,Agile Growth Corp. Class A Ordinary Share,$10.03 ,388662500,40772,Finance,Business Services
AGI,Alamos Goldnc. Class A,$9.70 ,3808032121,3700958,,
AGIL,AgileThoughtnc. Class A,$3.51 ,169334271,34675,Technology,EDP Services
AGIO,Agios Pharmaceuticalsnc.,$28.60 ,1571422882,428482,Health Care,Biotechnology: Pharmaceutical Preparations
AGL,agilon healthnc.,$17.78 ,7322778095,2719519,Health Care,Managed Health Care
AGLE,Aeglea BioTherapeuticsnc.,$0.45 ,27433941,1174189,Health Care,Biotechnology: Pharmaceutical Preparations
AGM,Federal Agricultural Mortgage Corporation,$121.69 ,1314327083,37628,Finance,Finance Companies
AGMH,AGM Group Holdingsnc.,$1.60 ,46225688,3248,Technology,EDP Services
AGNC,AGNCnvestment Corp.,$9.69 ,5539012732,11665229,Real Estate,Real Estatenvestment Trusts
AGO,Assured Guaranty Ltd.,$65.75 ,3944635614,434305,Finance,Property-Casualtynsurers
